avgHR,calories,steps,speed,pace,vo2Max,Age,Height,Gender,MaxHR,weight,alcohol_consumed,sleep,sleep_quality
155.0,714,6723.0,9.87,364.62,46.92,48,195,1,182,100,0,6.45,97.0
139.0,752,7150.0,8.7,413.73,48.72,48,195,1,182,100,0,5.18,99.0
152.0,567,4963.0,9.45,380.8,45.72,48,195,1,182,100,0,5.45,99.0
147.0,815,7469.0,8.83,407.67,47.38,48,195,1,182,100,0,7.65,99.0
163.0,454,3913.0,9.43,381.83,44.86,48,195,1,182,100,0,6.77,96.0
141.0,461,3981.0,7.8,461.55,47.13,48,195,1,182,100,0,5.93,98.0
144.0,396,3901.0,9.34,385.36,47.38,48,195,1,182,100,0,5.43,99.0
146.0,339,3384.0,9.71,370.62,47.01,48,195,1,182,100,0,5.3,97.0
150.0,493,4671.0,8.79,409.63,44.46,48,195,1,182,100,0,5.97,97.0
145.0,416,3815.0,9.55,377.12,48.54,48,195,1,182,100,0,7.43,98.0
159.0,486,4056.0,8.25,436.59,44.07,48,195,1,182,100,0,4.93,97.0
133.0,283,2519.0,7.2,499.9,46.69,48,195,1,182,100,0,4.38,98.0
131.0,1035,10783.0,7.39,486.87,43.44,60,180,1,169,91,0,6.15,99.0
121.0,1088,8859.0,4.3,836.58,46.39,60,180,1,169,91,1,5.85,94.0
147.0,864,8064.0,7.61,473.28,50.35,60,180,1,169,91,0,5.98,98.0
142.0,1211,11880.0,7.82,460.45,44.26,60,180,1,169,91,0,6.38,91.0
136.0,544,10034.0,8.19,439.64,64.98,60,180,1,169,91,0,6.45,93.0
140.0,553,5548.0,7.82,460.61,40.7,60,180,1,169,91,0,6.18,92.0
130.0,1062,11350.0,7.66,470.03,49.91,60,180,1,169,91,0,6.97,96.0
153.0,591,5635.0,8.25,436.27,50.72,60,180,1,169,91,0,5.63,96.0
147.0,1062,10211.0,7.69,468.07,48.74,60,180,1,169,91,0,6.55,92.0
129.0,998,8014.0,4.08,883.18,40.03,60,180,1,169,91,0,5.1,93.0
93.0,105,1295.0,4.1,878.65,52.56,60,180,1,169,91,0,5.78,91.0
147.0,1196,11288.0,7.49,480.86,54.72,60,180,1,169,91,0,6.13,91.0
128.0,1375,10810.0,6.17,583.18,49.71,60,180,1,169,91,1,6.9,98.0
128.0,1671,12612.0,4.44,811.02,48.54,60,180,1,169,91,0,7.13,99.0
136.0,1333,10570.0,5.11,704.17,45.91,60,180,1,169,91,0,8.4,89.0
144.0,1238,12357.0,8.1,444.48,53.81,60,180,1,169,91,0,6.0,95.0
140.0,761,7582.0,7.93,453.95,42.15,60,180,1,169,91,0,5.58,99.0
139.0,1038,10134.0,7.69,468.02,54.09,60,180,1,169,91,1,6.25,91.0
130.0,513,4977.0,6.4,562.27,41.83,60,180,1,169,91,0,5.97,100.0
144.0,1142,11077.0,7.65,470.34,51.6,60,180,1,169,91,0,3.88,97.0
